atmosmodm,1490K,10.3M,143.2M,36.5M,1.0,14.3319,9.9904079437,0.88,0.59,244.09
offshore,260K,4.2M,142.7M,23.4M,3.0,7.0503,20.2381496429,0.39,0.34,420.28
soc-Slashdot0811,77K,0.9M,223.7M,78.9M,1.0,217.2179,1.0297418833,1.88,19.92,11.23
soc-Slashdot0902,82K,0.9M,234.3M,81.4M,1.0,232.3997,1.0079741478,2.1,21.19,11.06
email-Enron,37K,0.4M,103.0M,30.5M,1.0,45.6073,2.2584738731,0.63,3.97,25.96
web-BerkStan,685K,7.6M,445.0M,78.4M,2.0,19.6318,22.6671886444,1.04,0.95,467.88
web-Google,916K,5.1M,121.4M,29.7M,2.0,9.341,12.9938631058,0.61,0.35,347.48
web-NotreDame,326K,1.5M,129.2M,16.8M,3.0,30.5228,4.2324914932,0.37,2.7,47.88
gsm_106857,589K,21.8M,1894.5M,132.4M,7.0,47.6432,39.7643699646,1.46,3.22,587.81
pdb1HYS,36K,4.3M,1110.6M,19.6M,28.0,13.6884,81.1377105713,0.27,1.0,1106.66
consph,83K,6.0M,927.7M,26.5M,17.0,13.6062,68.1814193726,0.35,1.01,916.15
cant,62K,4.0M,539.0M,17.4M,15.0,8.5558,62.9950408936,0.23,0.63,862.08
cop20k_A,121K,2.6M,159.8M,18.7M,4.0,5.5747,28.6592578888,0.26,0.31,514.71
webbase-1M,1000K,3.1M,139.0M,51.1M,1.0,26.7698,5.1942257881,0.78,1.78,78.23
dielFilterV2clx,607K,25.3M,2484.0M,177.6M,6.0,55.8506,44.4749679565,1.56,3.94,629.84
dielFilterV2real,1157K,48.5M,4674.7M,325.0M,7.0,101.4347,46.0860481262,2.28,7.77,601.66
dielFilterV3clx,420K,32.9M,6252.9M,247.3M,12.0,119.9263,52.1396713257,2.92,8.94,699.46
dielFilterV3real,1103K,89.3M,17410.9M,688.6M,12.0,333.9744,52.1325035095,7.39,26.16,665.49
cnr-2000,326K,3.2M,192.1M,34.2M,2.0,16.4032,11.713054657,0.51,1.15,166.38
in-2004,1383K,16.9M,3417.0M,213.3M,8.0,140.5807,24.3063716888,2.92,11.13,306.89
eu-2005,863K,19.2M,1698.5M,284.2M,2.0,133.0089,12.7701063156,1.86,11.37,149.39
road_central,14082K,33.9M,187.2M,70.0M,1.0,51.9008,3.6072595119,3.53,1.64,114.37
road_usa,23947K,57.7M,319.5M,119.5M,1.0,77.4015,4.1274151802,5.59,2.05,156.19
delaunay_n21,2097K,12.6M,158.5M,43.4M,1.0,17.0236,9.3096065521,0.99,0.74,214.86
delaunay_n22,4194K,25.2M,317.0M,86.8M,1.0,32.7303,9.6842746735,1.69,1.46,216.45
delaunay_n23,8389K,50.3M,633.9M,173.7M,1.0,60.9833,10.395031929,3.07,2.93,216.67
delaunay_n24,16777K,100.7M,1267.8M,347.3M,1.0,118.6878,10.6820478439,6.02,5.83,217.3
hugebubbles-00000,18318K,54.9M,329.6M,113.0M,1.0,32.1161,10.2622642517,1.98,1.23,268.06
hugebubbles-00010,19458K,58.4M,350.1M,121.5M,1.0,44.8458,7.8067116737,2.37,2.13,164.02
hugebubbles-00020,21198K,63.6M,381.4M,132.7M,1.0,47.1787,8.0847110748,2.48,2.25,169.67
hugetrace-00010,12057K,36.2M,217.0M,75.0M,1.0,22.9406,9.4572191238,1.35,0.92,236.69
hugetrace-00020,16002K,48.0M,287.9M,99.7M,1.0,30.988,9.292219162,1.73,1.37,209.69
hugetric-00010,6593K,19.8M,118.6M,41.3M,1.0,15.5044,7.6496934891,0.94,0.64,183.94
hugetric-00020,7123K,21.4M,128.1M,44.6M,1.0,16.0929,7.9626436234,0.95,0.69,186.01
rgg_n_2_19_s0,524K,6.5M,176.3M,19.6M,4.0,8.348,21.1192302704,0.48,0.38,464.32
rgg_n_2_20_s0,1049K,13.8M,390.0M,41.7M,4.0,15.6321,24.9461765289,0.79,0.81,484.18
rgg_n_2_21_s0,2097K,29.0M,859.2M,88.5M,4.0,31.3948,27.3660011292,1.46,1.72,498.46
rgg_n_2_22_s0,4194K,60.7M,1879.9M,187.0M,5.0,62.8041,29.9325332642,2.5,3.69,509.9
germany_osm,11549K,24.7M,112.4M,42.7M,1.0,36.1355,3.1117115021,2.83,0.76,148.24
auto,449K,6.6M,202.5M,33.1M,3.0,9.5876,21.1204376221,0.49,0.49,411.91
m14b,215K,3.4M,109.2M,16.4M,3.0,5.3425,20.4441375732,0.3,0.25,435.67
